No,Nama Destinasi,Provinsi,Kategori,Rating,Jumlah pengujung/bulan,Harga Tiket Masuk (IDR),Fasilitas Utama,Latitude,Longitude,Link Gambar
838,Taman Makam Pahlawan Sanana,Maluku Utara,Sejarah & Monumen,4.8,10361,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-3.17683,115.36906,https://tse3.mm.bing.net/th/id/OIP.Nkyg07YXEHjdndJOfENYngHaEN?r=0&pid=Api&P=0&h=180
839,Taman Makam Pahlawan Labuha,Maluku Utara,Sejarah & Monumen,4.6,11350,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-2.24149,103.11922,https://tse4.mm.bing.net/th/id/OIP.3fPyJAqdMUrd6MiIb4WDjAAAAA?r=0&pid=Api&P=0&h=180
840,Taman Makam Pahlawan Jayapura,Papua,Sejarah & Monumen,4.4,7371,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-0.46993,105.60827,https://tse3.mm.bing.net/th/id/OIP.r-yh4v4X-MSP3IoNl72SbAHaE7?r=0&pid=Api&P=0&h=180
841,Taman Makam Pahlawan Sentani,Papua,Sejarah & Monumen,4.2,5206,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",2.48413,126.60695,https://tse2.mm.bing.net/th/id/OIP.MEDEac0Z20zH89ZwkpiWFgHaEp?r=0&pid=Api&P=0&h=180
842,Taman Makam Pahlawan Biak,Papua,Sejarah & Monumen,4.1,10685,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",3.809,105.62041,https://tse3.mm.bing.net/th/id/OIP.4JlAIOj9CuuGMgkx8LRvJAHaEj?r=0&pid=Api&P=0&h=180
843,Taman Makam Pahlawan Serui,Papua,Sejarah & Monumen,4.2,13910,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",1.21928,120.05686,https://tse1.mm.bing.net/th/id/OIP.JVXniVEJMGjiypyNTCpREgHaE8?r=0&pid=Api&P=0&h=180
844,Taman Makam Pahlawan Sarmi,Papua,Sejarah & Monumen,4.5,8943,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-2.9868,127.77994,https://tse4.mm.bing.net/th/id/OIP.kGTNBN5z36la0ksHXowPYQHaFW?r=0&pid=Api&P=0&h=180
845,Taman Makam Pahlawan Wamena,Papua Pegunungan,Sejarah & Monumen,4.6,13199,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-2.94372,102.48883,https://tse4.mm.bing.net/th/id/OIP.USQUHM_0Q9xc6TPC-YQ4IwHaEJ?r=0&pid=Api&P=0&h=180
846,Taman Makam Pahlawan Merauke,Papua Selatan,Sejarah & Monumen,4.6,7891,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",0.85099,121.82711,https://www.tiffanews.co.id/wp-content/uploads/2023/10/ziarah-taman-makam-pahlawan.jpghy
847,Taman Makam Pahlawan Timika,Papua Tengah,Sejarah & Monumen,4.3,7738,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-5.13467,108.77564,https://tse1.mm.bing.net/th/id/OIP.EAva--7kquzfyZ6Gg6xUUwHaE7?r=0&pid=Api&P=0&h=180
848,Taman Makam Pahlawan Nabire,Papua Tengah,Sejarah & Monumen,4.9,3472,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-6.67431,138.44293,https://tse3.mm.bing.net/th/id/OIP.NzvaMatFJ-K9oUN9Bgz4hwHaFj?r=0&pid=Api&P=0&h=180
849,Taman Makam Pahlawan Enarotali,Papua Tengah,Sejarah & Monumen,4.7,11852,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-3.74453,118.30892,https://tse4.mm.bing.net/th/id/OIP.p_pHtnuwYoBVBdhcKZ7vZgHaGD?r=0&pid=Api&P=0&h=180
850,Taman Makam Pahlawan Sorong,Papua Barat Daya,Sejarah & Monumen,4.5,14829,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-4.55313,131.85169,https://tse1.mm.bing.net/th/id/OIP.HHLIk-HyrEsbLMea3mo--QHaEK?r=0&pid=Api&P=0&h=180
851,Taman Makam Pahlawan Manokwari,Papua Barat,Sejarah & Monumen,4.6,3739,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-4.4443,121.10951,https://tse3.mm.bing.net/th/id/OIP.eAMnw_1p5QqrvV2kO3JdvAHaEK?r=0&pid=Api&P=0&h=180
852,Taman Makam Pahlawan Fakfak,Papua Barat,Sejarah & Monumen,4.4,6401,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-5.19671,99.82333,https://tse3.mm.bing.net/th/id/OIP.Wfjb-hEXZ_-FqohslD6oYQHaFj?r=0&pid=Api&P=0&h=180
853,Taman Makam Pahlawan Kaimana,Papua Barat,Sejarah & Monumen,4.2,2761,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-7.49488,124.59236,https://tse2.mm.bing.net/th/id/OIP.FGkaJ8C6arIITNz0-U1OsAHaJQ?r=0&pid=Api&P=0&h=180
854,Taman Makam Pahlawan Bintuni,Papua Barat,Sejarah & Monumen,4.3,12706,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",-7.78551,137.95894,https://tse4.mm.bing.net/th/id/OIP.q5OSjNflkApX4hjgIcWq0AHaJ4?r=0&pid=Api&P=0&h=180
855,Taman Makam Pahlawan Waisai,Papua Barat Daya,Sejarah & Monumen,4.7,11167,0,"Area Parkir, Toilet, Pemandu, Akses Jalan, Area Istirahat",3.85267,123.2677,https://tse4.mm.bing.net/th/id/OIP.uems_aKR8GSf2PP-bQzvcwHaEL?r=0&pid=Api&P=0&h=180
856,Pasar Tradisional / Seni Banda Aceh,Aceh,Belanja & Budaya,4,11554,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-2.86672,132.40593,https://tse4.mm.bing.net/th/id/OIP.HAMJK3ZgJJ5ZqvmCXztjlgHaD4?r=0&pid=Api&P=0&h=180
857,Pasar Tradisional / Seni Sabang,Aceh,Belanja & Budaya,4.1,1876,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-3.38808,135.13667,https://tse1.mm.bing.net/th/id/OIP.Fcot7JslJXG4rgmKHAiyBQHaNK?r=0&pid=Api&P=0&h=180
858,Pasar Tradisional / Seni Lhokseumawe,Aceh,Belanja & Budaya,4,4812,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",0.15577,107.57935,https://tse3.mm.bing.net/th/id/OIP.TUDAu5JBYmBXLR0AuaKeKAHaFj?r=0&pid=Api&P=0&h=180
859,Pasar Tradisional / Seni Langsa,Aceh,Belanja & Budaya,4,12640,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.38095,106.90588,https://tse3.mm.bing.net/th/id/OIP.7ohsyGjJbZ4e5pSedgUDIwHaEK?r=0&pid=Api&P=0&h=180
860,Pasar Tradisional / Seni Subulussalam,Aceh,Belanja & Budaya,4.8,10504,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.39953,123.6612,https://tse1.mm.bing.net/th/id/OIP.DNLxPjmBr4J8B7mrl3x03gHaEn?r=0&pid=Api&P=0&h=180
861,Pasar Tradisional / Seni Medan,Sumatera Utara,Belanja & Budaya,4.6,2460,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",1.43614,115.2632,https://tse3.mm.bing.net/th/id/OIP.Qmv4uemVK6ydTwd5mMn2GQHaFj?r=0&pid=Api&P=0&h=180
862,Pasar Tradisional / Seni Binjai,Sumatera Utara,Belanja & Budaya,4.4,11901,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-6.92707,133.27417,https://tse2.mm.bing.net/th/id/OIP.kSeaByUOB3pb4MObrhfH8AHaE8?r=0&pid=Api&P=0&h=180
863,Pasar Tradisional / Seni Tebing Tinggi,Sumatera Utara,Belanja & Budaya,4.1,11516,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-2.98903,135.80097,https://tse3.mm.bing.net/th/id/OIP.zONhjmiDhn5guwK75dQjuQHaE7?r=0&pid=Api&P=0&h=180
864,Pasar Tradisional / Seni Pematangsiantar,Sumatera Utara,Belanja & Budaya,4.4,2733,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",2.54942,112.8437,https://tse1.mm.bing.net/th/id/OIP.cVljHNtjk0tyaTTv7apVcgHaHa?r=0&pid=Api&P=0&h=180
865,Pasar Tradisional / Seni Tanjungbalai,Sumatera Utara,Belanja & Budaya,4.4,2605,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.33678,107.94856,https://tse4.mm.bing.net/th/id/OIP.cXinp8Z3chmEWNlB8cfekQHaE8?r=0&pid=Api&P=0&h=180
866,Pasar Tradisional / Seni Sibolga,Sumatera Utara,Belanja & Budaya,4.2,6622,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-2.39118,130.78207,https://tse3.mm.bing.net/th/id/OIP.FppuYiqbGZQZRzXkNSlQMAHaFj?r=0&pid=Api&P=0&h=180
867,Pasar Tradisional / Seni Padangsidempuan,Sumatera Utara,Belanja & Budaya,4.4,7767,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-0.63906,109.54185,https://tse2.mm.bing.net/th/id/OIP.zHZjH8OeT4UdMhMeUN81UAHaEK?r=0&pid=Api&P=0&h=180
868,Pasar Tradisional / Seni Gunungsitoli,Sumatera Utara,Belanja & Budaya,4.4,11755,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.99559,132.5498,https://tse4.mm.bing.net/th/id/OIP.dUE4PkchH1aX-LvY9F8hTQHaFT?r=0&pid=Api&P=0&h=180
869,Pasar Tradisional / Seni Padang,Sumatera Barat,Belanja & Budaya,4.6,12613,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.89402,115.79701,https://tse3.mm.bing.net/th/id/OIP.VX6YcL3PBkcay4NqBy4zeAHaEK?r=0&pid=Api&P=0&h=180
870,Pasar Tradisional / Seni Bukittinggi,Sumatera Barat,Belanja & Budaya,4.6,7986,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.21994,126.0371,https://tse2.mm.bing.net/th/id/OIP.2Nm77HO7cp288CJNmdHgygHaE8?r=0&pid=Api&P=0&h=180
871,Pasar Tradisional / Seni Payakumbuh,Sumatera Barat,Belanja & Budaya,4,4517,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.31278,102.01248,https://tse3.mm.bing.net/th/id/OIP.1k60cffnugtGEtaTCVMngAHaE8?r=0&pid=Api&P=0&h=180
872,Pasar Tradisional / Seni Padang Panjang,Sumatera Barat,Belanja & Budaya,4.3,11589,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-0.20424,124.20209,https://tse2.mm.bing.net/th/id/OIP.K__pslrOTkVwODzEArU3WwHaFj?r=0&pid=Api&P=0&h=180
873,Pasar Tradisional / Seni Sawahlunto,Sumatera Barat,Belanja & Budaya,4.6,14918,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-0.70716,116.97424,https://tse4.mm.bing.net/th/id/OIP.dUE4PkchH1aX-LvY9F8hTQHaFT?r=0&pid=Api&P=0&h=180
874,Pasar Tradisional / Seni Solok,Sumatera Barat,Belanja & Budaya,4.5,4735,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-1.84774,122.63756,https://tse2.mm.bing.net/th/id/OIP.zdAAQXVZlp4bLThEnP4hKgHaEK?r=0&pid=Api&P=0&h=180
875,Pasar Tradisional / Seni Pariaman,Sumatera Barat,Belanja & Budaya,4.8,12062,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.23196,105.0566,https://tse3.mm.bing.net/th/id/OIP.2-UPMx8IO-7CUVceXmBYSAHaJR?r=0&pid=Api&P=0&h=180
876,Pasar Tradisional / Seni Pekanbaru,Riau,Belanja & Budaya,4.6,10352,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.88166,128.9487,https://tse1.mm.bing.net/th/id/OIP.GN0o0QhKtg4LnzuMcPBCeAHaEK?r=0&pid=Api&P=0&h=180
877,Pasar Tradisional / Seni Dumai,Riau,Belanja & Budaya,4.1,14046,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.35417,134.23748,https://tse2.mm.bing.net/th/id/OIP.hbcnaHmea7kSH6gjQngu1QHaFz?r=0&pid=Api&P=0&h=180
878,Pasar Tradisional / Seni Batam,Kepulauan Riau,Belanja & Budaya,4.1,9434,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.76274,107.10307,https://tse1.mm.bing.net/th/id/OIP.1lR_Ch6Dac8UcxIbzDiL_QHaFj?r=0&pid=Api&P=0&h=180
879,Pasar Tradisional / Seni Tanjungpinang,Kepulauan Riau,Belanja & Budaya,4.6,3590,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",1.35501,102.02001,https://tse3.mm.bing.net/th/id/OIP.qOEA7bx5-CeYSscTvpIwygHaEK?r=0&pid=Api&P=0&h=180
880,Pasar Tradisional / Seni Bintan,Kepulauan Riau,Belanja & Budaya,4,2063,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-3.7985,98.99282,https://tse4.mm.bing.net/th/id/OIP.7oNq5cp3uTU8vCeLORkVQgHaEK?r=0&pid=Api&P=0&h=180
881,Pasar Tradisional / Seni Karimun,Kepulauan Riau,Belanja & Budaya,4.5,5324,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-7.30589,124.9628,https://tse3.mm.bing.net/th/id/OIP.t4evQkYe644G5wdL64VI1wHaFj?r=0&pid=Api&P=0&h=180
882,Pasar Tradisional / Seni Jambi,Jambi,Belanja & Budaya,4.8,11787,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.62923,123.49795,https://tse1.mm.bing.net/th/id/OIP.tN0FhkU0DCZdr5cxbTwd8AHaFj?r=0&pid=Api&P=0&h=180
883,Pasar Tradisional / Seni Sungai Penuh,Jambi,Belanja & Budaya,4.5,10111,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",2.60543,120.96129,https://tse4.mm.bing.net/th/id/OIP.hdJSnnBjG2VH-jteUl5kbQHaEK?r=0&pid=Api&P=0&h=180
884,Pasar Tradisional / Seni Palembang,Sumatera Selatan,Belanja & Budaya,4.3,6342,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.13303,107.74178,https://tse1.mm.bing.net/th/id/OIP.9PDXro6ZIT3NxjwEam23lAHaIp?r=0&pid=Api&P=0&h=180
885,Pasar Tradisional / Seni Prabumulih,Sumatera Selatan,Belanja & Budaya,4.6,1005,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.93889,114.41805,https://tse4.mm.bing.net/th/id/OIP.BStZo23nIhHw_BWnmxdytwHaDV?r=0&pid=Api&P=0&h=180
886,Pasar Tradisional / Seni Lubuklinggau,Sumatera Selatan,Belanja & Budaya,4.4,8489,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.91326,122.96801,https://tse2.mm.bing.net/th/id/OIP.hAJC_c1YtpKm4K45QW8IFQHaEK?r=0&pid=Api&P=0&h=180
887,Pasar Tradisional / Seni Pagar Alam,Sumatera Selatan,Belanja & Budaya,4.5,9659,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-3.2451,118.86421,https://tse1.mm.bing.net/th/id/OIP.uem6MX-w9xMcEFs1JykRtgHaFj?r=0&pid=Api&P=0&h=180
888,Pasar Tradisional / Seni Bengkulu,Bengkulu,Belanja & Budaya,4.8,13362,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",1.09886,139.48699,https://tse2.mm.bing.net/th/id/OIP.eeDXbCrmvY1PW0edcgi_eQHaEK?r=0&pid=Api&P=0&h=180
889,Pasar Tradisional / Seni Bandar Lampung,Lampung,Belanja & Budaya,4.3,9195,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",0.35225,103.73047,https://tse3.mm.bing.net/th/id/OIP.SW84PSOd-wDx1mEk3gKRsQHaEK?r=0&pid=Api&P=0&h=180
890,Pasar Tradisional / Seni Metro,Lampung,Belanja & Budaya,4.9,6966,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-6.15325,127.19607,https://tse3.mm.bing.net/th/id/OIP.gYbcZcVnxEhKA3aXsO7BSQHaFq?r=0&pid=Api&P=0&h=180
891,Pasar Tradisional / Seni Pangkalpinang,Kepulauan Bangka Belitung,Belanja & Budaya,4.8,9837,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",1.79,114.98139,https://tse2.mm.bing.net/th/id/OIP.FIs9s97pxHdNgWUHPgcznAHaEK?r=0&pid=Api&P=0&h=180
892,Pasar Tradisional / Seni Belitung,Kepulauan Bangka Belitung,Belanja & Budaya,4.2,1117,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.30671,115.98438,https://tse4.mm.bing.net/th/id/OIP.4IHzG1igFb759mSQgWICYAHaEp?r=0&pid=Api&P=0&h=180
893,Pasar Tradisional / Seni Jakarta Pusat,DKI Jakarta,Belanja & Budaya,4.1,12120,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-5.31419,128.13911,https://tse3.mm.bing.net/th/id/OIP.8HemVga-Olayfe2QqZT1rgHaFj?r=0&pid=Api&P=0&h=180
894,Pasar Tradisional / Seni Jakarta Utara,DKI Jakarta,Belanja & Budaya,4.1,14917,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-1.55631,127.08232,https://tse2.mm.bing.net/th/id/OIP.DWIAMdCgJGpt4gScofJp5wHaE8?r=0&pid=Api&P=0&h=180
895,Pasar Tradisional / Seni Jakarta Barat,DKI Jakarta,Belanja & Budaya,4,3551,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-0.88472,139.63275,https://asset.kompas.com/crops/mk9EMpYiSTR2IAgzFN029xmTsxE=/0x0:1000x667/1200x800/data/photo/2017/11/29/4084307186.jpg
896,Pasar Tradisional / Seni Jakarta Selatan,DKI Jakarta,Belanja & Budaya,4.1,14234,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-1.03897,103.39256,https://tse2.mm.bing.net/th/id/OIP.-TgIzztLDP62ycZIfupswQHaFj?r=0&pid=Api&P=0&h=180
897,Pasar Tradisional / Seni Jakarta Timur,DKI Jakarta,Belanja & Budaya,4.6,6560,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-6.90216,102.37261,https://tse4.mm.bing.net/th/id/OIP.M82-E9zPVbv0LV4TDt5ezgHaEP?r=0&pid=Api&P=0&h=180
898,Pasar Tradisional / Seni Kepulauan Seribu,DKI Jakarta,Belanja & Budaya,4.1,5289,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",2.52953,128.42223,https://tse2.mm.bing.net/th/id/OIP.DixkoU9w5LKkFOExW2NdaAHaE7?r=0&pid=Api&P=0&h=180
899,Pasar Tradisional / Seni Bogor,Jawa Barat,Belanja & Budaya,4.3,1846,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-4.8128,122.29225,https://tse2.mm.bing.net/th/id/OIP.i7iWX3ScnodpzV98TyLB6AHaEL?r=0&pid=Api&P=0&h=180
900,Pasar Tradisional / Seni Depok,Jawa Barat,Belanja & Budaya,4.8,11954,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-6.44582,109.51475,https://tse4.mm.bing.net/th/id/OIP.axmLznr1aeIo80oCi9oYIAHaE8?r=0&pid=Api&P=0&h=180
901,Pasar Tradisional / Seni Bekasi,Jawa Barat,Belanja & Budaya,4,14703,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",2.66498,101.33561,https://tse3.mm.bing.net/th/id/OIP.GJUKHw11VUQU4xfZtpY4hgHaFj?r=0&pid=Api&P=0&h=180
902,Pasar Tradisional / Seni Cikarang,Jawa Barat,Belanja & Budaya,4.7,14746,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",3.46782,101.59765,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Cikarang&imgurl=https%3A%2F%2Fassets.pikiran-rakyat.com%2Fcrop%2F0x0%3A0x0%2F1200x675%2Fphoto%2F2025%2F06%2F10%2F2249772553.jpg&imgrefurl=https%3A%2F%2Fkoran.pikiran-rakyat.com%2Fjawa-barat%2Fpr-3039406524%2Fkurang-anggaran-hampir-seluruh-pasar-tradisional-di-kabupaten-bekasi-tak-layak&docid=bjzMcqSUFkIRmM&tbnid=iRJpO1VGIrmW1M&vet=12ahUKEwis6ff9nM2VAxV24zgGHSJSJkcQnPAOegQIQhAA..i&w=1200&h=675&hcb=2&ved=2ahUKEwis6ff9nM2VAxV24zgGHSJSJkcQnPAOegQIQhAA
903,Pasar Tradisional / Seni Bandung,Jawa Barat,Belanja & Budaya,4.3,7316,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",2.34553,135.55602,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Bandung&imgurl=https%3A%2F%2Finfobandungnews.com%2Fwp-content%2Fuploads%2F2025%2F01%2Fimages-4-2.jpeg&imgrefurl=https%3A%2F%2Finfobandungnews.com%2Fternyata-masih-ada-pasar-tradisional-ala-jadoel-di-bandung%2F&docid=S7Dbo58xWyJVAM&tbnid=Ff_544raHdp6HM&vet=12ahUKEwiMuPyInc2VAxWZyDgGHSz7MSwQnPAOegQINhAA..i&w=678&h=452&hcb=2&ved=2ahUKEwiMuPyInc2VAxWZyDgGHSz7MSwQnPAOegQINhAA
904,Pasar Tradisional / Seni Cimahi,Jawa Barat,Belanja & Budaya,4.1,14956,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",1.71419,106.05843,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Cimahi&imgurl=https%3A%2F%2Flookaside.instagram.com%2Fseo%2Fgoogle_widget%2Fcrawler%2F%3Fmedia_id%3D3551571622530608029&imgrefurl=https%3A%2F%2Fwww.instagram.com%2Fp%2FDFJt5VAyR4J%2F&docid=Zmh49-RDbBWXyM&tbnid=-yPNakvrkU7t7M&vet=12ahUKEwi_nPOXnc2VAxVuZyoJHVyVCccQnPAOegQIQhAA..i&w=1080&h=1350&hcb=2&ved=2ahUKEwi_nPOXnc2VAxVuZyoJHVyVCccQnPAOegQIQhAA
905,Pasar Tradisional / Seni Sukabumi,Jawa Barat,Belanja & Budaya,4.6,7469,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-0.1371,111.58161,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Sukabumi&imgurl=https%3A%2F%2Fmedia.sukabumiupdate.com%2Fmedia%2F2023%2F12%2F29%2F1703802600_658df6e8d61b9_ekFUr6nkRa3CD6Qb2IMi.webp&imgrefurl=https%3A%2F%2Fwww.sukabumiupdate.com%2Fsukabumi%2F147505%2F6-pasar-tradisional-populer-di-kota-sukabumi-wargi-suka-belanja-dimana&docid=CIDge_BSITo4kM&tbnid=IXAd14-RYSPTFM&vet=12ahUKEwjd5J6knc2VAxX0nmMGHVspD2oQnPAOegQINxAA..i&w=1200&h=675&hcb=2&ved=2ahUKEwjd5J6knc2VAxX0nmMGHVspD2oQnPAOegQINxAA
906,Pasar Tradisional / Seni Cianjur,Jawa Barat,Belanja & Budaya,4.6,14721,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-1.38971,107.51957,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Cianjur&imgurl=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D1229660255865968&imgrefurl=https%3A%2F%2Fwww.facebook.com%2FCIANJURTEA%2Fposts%2Fpasar-induk-cianjur-jaman-dulu-15-tahun-yang-lalu%2F1229660279199299%2F&docid=nKpytwjT1vwxMM&tbnid=BsduI7Rh1vULcM&vet=12ahUKEwiz6IOwnc2VAxUl1TgGHc--IFEQnPAOegUIrQEQAA..i&w=1536&h=2048&hcb=2&ved=2ahUKEwiz6IOwnc2VAxUl1TgGHc--IFEQnPAOegUIrQEQAA
907,Pasar Tradisional / Seni Garut,Jawa Barat,Belanja & Budaya,4.8,10333,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-6.95616,112.90984,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Garut&imgurl=https%3A%2F%2Fdvgddkosknh6r.cloudfront.net%2Flive%2Fmedia%2Fimg%2F1723371801-WhatsApp-Image-2024-08-10-at-7.47.52-PM.jpeg&imgrefurl=https%3A%2F%2Fjabarprov.go.id%2Fberita%2Fbelanja-di-akhir-pekan-ini-lima-rekomendasi-pasar-tradisional-kota-bandung-14842&docid=y3hsUEwpPAPWAM&tbnid=iCHa0gXmBPBS5M&vet=12ahUKEwjgx6m-nc2VAxUnwjgGHRLpAk4QnPAOegQIUBAA..i&w=1200&h=800&hcb=2&ved=2ahUKEwjgx6m-nc2VAxUnwjgGHRLpAk4QnPAOegQIUBAA
908,Pasar Tradisional / Seni Tasikmalaya,Jawa Barat,Belanja & Budaya,4.7,11002,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-3.09856,100.9158,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Tasikmalaya&imgurl=https%3A%2F%2Fawsimages.detik.net.id%2Fcommunity%2Fmedia%2Fvisual%2F2023%2F05%2F10%2Fkondisi-pedestrian-jalan-cihideung-kota-tasikmalaya-penuh-oleh-pedagang-kaki-lima_169.jpeg%3Fw%3D650&imgrefurl=https%3A%2F%2Fwww.detik.com%2Fjabar%2Fberita%2Fd-6714244%2Fpedestrian-cihideung-tasik-yang-melenceng-dari-konsep-awal&docid=R3ZNfbL-vNQFIM&tbnid=w7C5o4P-U2eriM&vet=12ahUKEwjMvs3Lnc2VAxWR-jgGHYD3HKMQnPAOegQIOhAA..i&w=650&h=366&hcb=2&ved=2ahUKEwjMvs3Lnc2VAxWR-jgGHYD3HKMQnPAOegQIOhAA
909,Pasar Tradisional / Seni Ciamis,Jawa Barat,Belanja & Budaya,4.7,9915,0,"Kios Dagang, Toilet, Area Parkir, Mushola, Tempat Sampah",-3.52774,119.80051,https://www.google.com/imgres?q=Pasar%20Tradisional%20%2F%20Seni%20Ciamis&imgurl=https%3A%2F%2Fimg.antarafoto.com%2Fcache%2F1200x800%2F2022%2F04%2F30%2Fpeningkatan-pengunjung-di-pasar-tradisional-zkwp-dom.jpg&imgrefurl=https%3A%2F%2Fwww.antarafoto.com%2Fid%2Fview%2F1660057%2Fpeningkatan-pengunjung-di-pasar-tradisional&docid=8pm4g1T0sE2voM&tbnid=JJP07bmgq7vDZM&vet=12ahUKEwjkp6nbnc2VAxUH4TgGHVEMI1oQnPAOegQIOxAA..i&w=1200&h=800&hcb=2&ved=2ahUKEwjkp6nbnc2VAxUH4TgGHVEMI1oQnPAOegQIOxAA
